filename,iso_offset,memory_offset
fix_die_max_hook,1A9D24,8018cc84
fix_die_max,20924,80003624
max_coin_count_1_hook,183D70,80166cd0
max_coin_count_1,209B8,800036B8
max_coin_count_2_hook,5BF34,8003ee94
max_coin_count_2,20A44,80003744
unlock_boards,349BD26C,804ed7a0
unlock_boards,349BD95C,804ed7a0
bowsers_inferno_lock_override,349BD300,804ed834
bowsers_inferno_lock_override,349BD9F0,804ed834
fix_minigame_selection_hook,23D6B8,80220618
fix_minigame_selection,22034,80004D34
write_beaten_minigames_hook,59768,8003c6c8
write_beaten_minigames,22720,80005420
